('refaced', 'defacer')
('stanching', 'snatching')
('ranged', 'danger')
('garden', 'gander')
('gander', 'danger')
('cation', 'action')
('tother', 'hotter')
('spieling', 'speiling')
('vealer', 'leaver')
('paction', 'caption')
('steely', 'sleety')
('handsel', 'handles')
('spins', 'snips')
('spines', 'snipes')
('stupa', 'sputa')
('tilters', 'litters')
('viral', 'rival')
('tictacs', 'tactics')
('centres', 'centers')
('immane', 'ammine')
('trapes', 'prates')
('tapers', 'paters')
('trapan', 'tarpan')
('tarpan', 'partan')
('crony', 'corny')
('nom', 'mon')
('sliver', 'silver')
('livres', 'livers')
('noil', 'loin')
('loin', 'lion')
('lion', 'lino')
('races', 'cares')
('carse', 'cares')
('cares', 'acres')
('acres', 'acers')
('reals', 'lears')
('rales', 'arles')
('rales', 'lares')
('laser', 'lares')
('lares', 'earls')
('tiaras', 'riatas')
('penes', 'peens')
('peens', 'neeps')
('cots', 'cost')
('recanted', 'decanter')
('wavier', 'waiver')
('lipases', 'lapises')
('recites', 'cerites')
('clams', 'calms')
('tarsier', 'tarries')
('ceric', 'cerci')
('tosser', 'torses')
('stanch', 'snatch')
('rope', 'pore')
('bargees', 'bareges')
('hurdled', 'huddler')
('coeds', 'codes')
('glancing', 'clanging')
('ultraist', 'altruist')
('rectifies', 'certifies')
('residers', 'desirers')
('stink', 'skint')
('ruler', 'lurer')
('nibs', 'bins')
('versed', 'served')
('stake', 'skate')
('tots', 'tost')
('trapans', 'tarpans')
('tarpans', 'partans')
('won', 'now')
('won', 'own')
('grovel', 'glover')
('tare', 'rate')
('xylic', 'cylix')
('spacing', 'scaping')
('rowdies', 'dowries')
('satiny', 'sanity')
('rhuses', 'rhesus')
('magic', 'gamic')
('straps', 'sprats')
('terries', 'retries')
('retries', 'retires')
('thous', 'shout')
('customers', 'costumers')
('sitarist', 'satirist')
('race', 'care')
('care', 'acre')
('urinates', 'ruinates')
('urinates', 'uranites')
('tartana', 'tantara')
('tides', 'dites')
('stied', 'sited')
('sited', 'dites')
('dites', 'diets')
('spaes', 'apses')
('passe', 'pases')
('pases', 'apses')
('seggars', 'saggers')
('barter', 'barret')
('louvres', 'louvers')
('taler', 'later')
('ratel', 'artel')
('ratel', 'later')
('later', 'alter')
('artel', 'alter')
('rued', 'rude')
('rude', 'dure')
('ipecacs', 'icecaps')
('rimes', 'mires')
('miser', 'mires')
('pial', 'pail')
('consoled', 'condoles')
('rulers', 'lurers')
('tsardom', 'stardom')
('ora', 'oar')
('taos', 'oats')
('oats', 'oast')
('soras', 'soars')
('spelt', 'slept')
('philtres', 'philters')
('rocks', 'corks')
('illitic', 'illicit')
('resealing', 'releasing')
('blets', 'belts')
('blets', 'blest')
('holloas', 'halloos')
('loaf', 'foal')
('brooms', 'bromos')
('proa', 'prao')
('slaved', 'salved')
('colts', 'clots')
('rocs', 'orcs')
('umbles', 'umbels')
('ta', 'at')
('what', 'thaw')
('schmeer', 'schemer')
('idyl', 'idly')
('norm', 'morn')
('hustlers', 'hurtless')
('sials', 'sails')
('ansa', 'anas')
('vied', 'vide')
('vide', 'dive')
('raping', 'paring')
('cithrens', 'citherns')
('chasse', 'chases')
('livens', 'levins')
('strati', 'strait')
('wried', 'weird')
('wried', 'wired')
('wired', 'wider')
('spire', 'spier')
('spier', 'speir')
('prise', 'pries')
('tsades', 'stades')
('heats', 'haets')
('hates', 'haets')
('haste', 'haets')
('usable', 'suable')
('tootlers', 'rootlets')
('abohms', 'abmhos')
('tallage', 'gallate')
('galleta', 'gallate')
('rap', 'par')
('roups', 'pours')
('vealed', 'leaved')
('rocked', 'corked')
('rocked', 'docker')
('bireme', 'berime')
('berime', 'bemire')
('holloaed', 'hallooed')
('tod', 'dot')
('tun', 'nut')
('deaned', 'deaden')
('lamas', 'almas')
('pulses', 'pluses')
('daze', 'adze')
('bras', 'bars')
('waddling', 'dawdling')
('busted', 'bestud')
('tuns', 'nuts')
('lobo', 'bolo')
('males', 'lames')
('lames', 'almes')
('riever', 'reiver')
('securing', 'recusing')
('septs', 'pests')
('undergod', 'underdog')
('ha', 'ah')
('tsardoms', 'stardoms')
('slatiest', 'saltiest')
('sallier', 'rallies')
('wordy', 'rowdy')
('rowdy', 'dowry')
('leading', 'dealing')
('tolas', 'lotas')
('nicest', 'incest')
('insect', 'incest')
('gaed', 'aged')
('egad', 'aged')
('stimes', 'smites')
('tsar', 'star')
('tars', 'rats')
('rats', 'arts')
('costa', 'coats')
('coats', 'coast')
('pace', 'cape')
('gleeds', 'gledes')
('vote', 'veto')
('shmo', 'ohms')
('ohms', 'mhos')
('broos', 'boors')
('ripeners', 'repiners')
('tills', 'lilts')
('texas', 'taxes')
('ya', 'ay')
('bra', 'bar')
('nogg', 'gong')
('rooming', 'mooring')
('today', 'toady')
('nitro', 'intro')
('siller', 'rilles')
('waled', 'lawed')
('nab', 'ban')
('accoutres', 'accouters')
('reinters', 'reinsert')
('trio', 'tiro')
('tori', 'tiro')
('vineal', 'venial')
('venial', 'veinal')
('from', 'form')
('slats', 'salts')
('salts', 'lasts')
('pealing', 'leaping')
('roc', 'orc')
('alumni', 'alumin')
('loafing', 'foaling')
('noggs', 'gongs')
('spectre', 'sceptre')
('spectre', 'specter')
('specter', 'scepter')
('sceptre', 'scepter')
('nema', 'name')
('name', 'mane')
('tens', 'nets')
('tens', 'sent')
('sent', 'nest')
('nets', 'nest')
('ser', 'res')
('res', 'ers')
('agonise', 'agonies')
('craving', 'carving')
('resources', 'recourses')
('terrenes', 'terreens')
('tolans', 'talons')
('guar', 'gaur')
('sere', 'seer')
('seer', 'rees')
('tetradic', 'tetracid')
('rob', 'orb')
('water', 'tawer')
('tao', 'oat')
('casern', 'caners')
('rattens', 'natters')
('paced', 'caped')
('roping', 'poring')
('pooh', 'hoop')
('laders', 'alders')
('grovels', 'glovers')
('causal', 'casual')
('sned', 'send')
('send', 'dens')
('sums', 'muss')
('bared', 'barde')
('pretesting', 'presetting')
('leg', 'gel')
('prudes', 'drupes')
('lie', 'lei')
('decentres', 'decenters')
('handsels', 'handless')
('traces', 'crates')
('crates', 'cartes')
('caters', 'carets')
('caster', 'cartes')
('cartes', 'carets')
('mace', 'came')
('came', 'acme')
('tins', 'nits')
('raft', 'fart')
('frat', 'fart')
('stoccatas', 'staccatos')
('sels', 'less')
('apple', 'appel')
('suffer', 'ruffes')
('geests', 'egests')
('gaes', 'ages')
('biremes', 'berimes')
('berimes', 'bemires')
('burghs', 'brughs')
('kittle', 'kittel')
('tarried', 'tardier')
('spectral', 'sceptral')
('adobes', 'abodes')
('untried', 'untired')
('stools', 'sotols')
('toad', 'doat')
('teemer', 'meeter')
('silting', 'listing')
('vees', 'eves')
('sink', 'kins')
('tamers', 'maters')
('tamers', 'ramets')
('ramets', 'armets')
('matres', 'maters')
('sires', 'rises')
('elide', 'edile')
('nub', 'bun')
('tenty', 'netty')
('traced', 'crated')
('crated', 'carted')
('sora', 'soar')
('soar', 'osar')
('solid', 'sloid')
('solid', 'soldi')
('idols', 'diols')
('posies', 'poises')
('areology', 'aerology')
('wars', 'raws')
('reel', 'leer')
('free', 'fere')
('tries', 'tires')
('tires', 'rites')
('tires', 'tiers')
('tarting', 'ratting')
('racks', 'carks')
('slaters', 'salters')
('salters', 'lasters')
('gob', 'bog')
('mid', 'dim')
('traik', 'krait')
('lardons', 'ladrons')
('baying', 'abying')
('pentane', 'pennate')
('spiled', 'sliped')
('lisped', 'dispel')
('rood', 'door')
('odor', 'door')
('udos', 'duos')
('ouds', 'duos')
('overbuys', 'overbusy')
('steeks', 'skeets')
('ghats', 'ghast')
('readies', 'dearies')
('tods', 'dots')
('dots', 'dost')
('stilting', 'slitting')
('reveled', 'levered')
('unsober', 'unrobes')
('toning', 'noting')
('stakes', 'skates')
('misspaced', 'midspaces')
('verso', 'servo')
('crepes', 'creeps')
('legates', 'gelates')
('spires', 'spiers')
('spiers', 'speirs')
('hora', 'hoar')
('steelier', 'sleetier')
('armories', 'armoires')
('tabes', 'bates')
('betas', 'bates')
('betas', 'beats')
('beats', 'beast')
('rectifier', 'certifier')
('icons', 'cions')
('coins', 'cions')
('flacon', 'falcon')
('named', 'maned')
('menad', 'maned')
('racking', 'arcking')
('racking', 'carking')
('pistache', 'pastiche')
('versos', 'servos')
('wiled', 'wield')
('saucer', 'causer')
('malingers', 'maligners')
('soak', 'koas')
('okas', 'koas')
('okas', 'oaks')
('soling', 'losing')
('intending', 'indenting')
('subs', 'buss')
('conversation', 'conservation')
('spiks', 'skips')
('tire', 'rite')
('tire', 'tier')
('sales', 'lases')
('deters', 'desert')
('lieus', 'ileus')
('threes', 'theres')
('wees', 'ewes')
('slump', 'plums')
('na', 'an')
('mines', 'miens')
('grummets', 'grummest')
('lifer', 'filer')
('flier', 'filer')
('nanas', 'annas')
('reversed', 'reserved')
('reserved', 'deserver')
('mobber', 'bomber')
('tagrag', 'ragtag')
('geest', 'egest')
('obverse', 'observe')
('flees', 'feels')
('magma', 'gamma')
('questionniare', 'questionnaire')
('lader', 'alder')
('rectitude', 'certitude')
('vole', 'love')
('love', 'levo')
('caids', 'acids')
('caids', 'cadis')
('wons', 'nows')
('wons', 'owns')
('sown', 'nows')
('ensiled', 'enisled')
('remanded', 'demander')
('aligns', 'algins')
('ripens', 'repins')
('ridge', 'dirge')
('tike', 'kite')
('rectifiers', 'certifiers')
('slogs', 'gloss')
('arsenous', 'anserous')
('putouts', 'outputs')
('nebs', 'bens')
('hired', 'hider')
('milliohms', 'millimhos')
('pamper', 'mapper')
('rule', 'lure')
('tombac', 'combat')
('ramble', 'marble')
('lags', 'gals')
('coys', 'cosy')
('seel', 'lees')
('lees', 'eels')
('tela', 'tale')
('tela', 'teal')
('teal', 'tael')
('tale', 'late')
('tale', 'tael')
('burgh', 'brugh')
('life', 'file')
('life', 'lief')
('unburned', 'unburden')
('vets', 'vest')
('manic', 'amnic')
('anis', 'ains')
('complies', 'compiles')
('tend', 'dent')
('jereed', 'jeered')
('reviled', 'relived')
('relived', 'deliver')
('lugs', 'guls')
('bayed', 'abyed')
('lode', 'dole')
('mouse', 'moues')
('soused', 'douses')
('ducs', 'cuds')
('touchiest', 'couthiest')
('resewn', 'renews')
('shits', 'shist')
('elides', 'ediles')
('tarpon', 'parton')
('patron', 'parton')
('tenner', 'rennet')
('tumbrels', 'tumblers')
('blueys', 'bluesy')
('yak', 'kay')
('roup', 'pour')
('fibre', 'fiber')
('woosh', 'whoso')
('so', 'os')
('mids', 'dims')
('horas', 'hoars')
('lack', 'calk')
('baa', 'aba')
('distancing', 'discanting')
('tar', 'rat')
('rat', 'art')
('lobster', 'bolster')
('centre', 'center')
('beldam', 'bedlam')
('urinous', 'ruinous')
('tora', 'rota')
('tora', 'taro')
('taro', 'rato')
('rota', 'rato')
('rectified', 'certified')
('ochre', 'ocher')
('strips', 'sprits')
('strips', 'stirps')
('stirps', 'spirts')
('sprits', 'spirts')
('gads', 'dags')
('tessera', 'teasers')
('teasers', 'seaters')
('assorters', 'assertors')
('slaving', 'salving')
('ides', 'dies')
('staking', 'skating')
('stum', 'smut')
('muts', 'must')
('taces', 'cates')
('cesta', 'caste')
('era', 'are')
('era', 'ear')
('propense', 'propenes')
('precent', 'percent')
('bayadere', 'bayadeer')
('severer', 'reveres')
('reverse', 'reserve')
('reverse', 'reveres')
('neology', 'enology')
('pads', 'daps')
('keas', 'kaes')
('abied', 'abide')
('explored', 'exploder')
('rievers', 'reivers')
('mislead', 'misdeal')
('shrikes', 'shrieks')
('seduced', 'deduces')
('wed', 'dew')
('sabres', 'sabers')
('testing', 'setting')
('rapers', 'parers')
('gardening', 'gandering')
('gandering', 'dangering')
('sallied', 'dallies')
('sector', 'rectos')
('reflies', 'ferlies')
('reflies', 'refiles')
('nil', 'lin')
('ranking', 'narking')
('uses', 'sues')
('angles', 'angels')
('toads', 'doats')
('beta', 'bate')
('beta', 'beat')
('rags', 'gars')
('ragees', 'eagers')
('ragees', 'eagres')
('eagres', 'eagers')
('ransoms', 'ramsons')
('wats', 'taws')
('wats', 'wast')
('twas', 'swat')
('twas', 'taws')
('swat', 'staw')
('diodes', 'didoes')
('dioptre', 'diopter')
('speeling', 'sleeping')
('shear', 'rheas')
('nomogram', 'monogram')
('maugre', 'mauger')
('wrastling', 'warstling')
('chasm', 'chams')
('steres', 'steers')
('resets', 'reests')
('wardens', 'wanders')
('sab', 'bas')
('soured', 'roused')
('roused', 'douser')
('bicron', 'bicorn')
('negro', 'genro')
('ebonise', 'ebonies')
('crooner', 'coroner')
('saucing', 'causing')
('tilers', 'liters')
('litres', 'liters')
('craved', 'carved')
('ulnas', 'lunas')
('ulnas', 'ulans')
('masquers', 'marquess')
('kafirs', 'fakirs')
('vilenesses', 'livenesses')
('riced', 'dicer')
('dicer', 'cider')
('hied', 'hide')
('topstones', 'potstones')
('conte', 'cento')
('harkened', 'hankered')
('bay', 'aby')
('titres', 'titers')
('until', 'unlit')
('cubits', 'cubist')
('foci', 'fico')
('nomadisms', 'monadisms')
('sirees', 'series')
('moralities', 'molarities')
('bubal', 'babul')
('tootler', 'rootlet')
('stelar', 'staler')
('staler', 'slater')
('slater', 'salter')
('salter', 'laster')
('ratels', 'artels')
('artels', 'alters')
('tilter', 'litter')
('coed', 'code')
('intend', 'indent')
('rocker', 'corker')
('fleas', 'alefs')
('ulna', 'luna')
('ulna', 'ulan')
('tracers', 'craters')
('craters', 'carters')
('taming', 'mating')
('rubbled', 'burbled')
('sacks', 'casks')
('node', 'done')
('tips', 'pits')
('veery', 'every')
('rambles', 'marbles')
('frees', 'feres')
('tamises', 'samites')
('neguses', 'genuses')
('ensiles', 'enisles')
('sial', 'sail')
('lied', 'diel')
('diel', 'deil')
('deli', 'deil')
('nagging', 'ganging')
('potion', 'option')
('slurb', 'blurs')
('gobans', 'bogans')
('reels', 'leers')
('naif', 'fain')
('sols', 'loss')
('spiered', 'speired')
('infract', 'infarct')
('tentiest', 'nettiest')
('spanless', 'snapless')
('organ', 'argon')
('organ', 'groan')
('yarn', 'nary')
('cane', 'acne')
('using', 'suing')
('cahier', 'achier')
('ova', 'avo')
('briskets', 'briskest')
('rucked', 'ducker')
('mods', 'doms')
('sacked', 'casked')
('sacque', 'casque')
('drats', 'darts')
('colt', 'clot')
('ukes', 'kues')
('wont', 'nowt')
('town', 'nowt')
('olein', 'eloin')
('nohes', 'hones')
('hosen', 'hones')
('pacer', 'caper')
('prating', 'parting')
('sim', 'ism')
('sim', 'mis')
('totems', 'motets')
('mottes', 'motets')
('stripes', 'sprites')
('stripes', 'stirpes')
('nocking', 'conking')
('vinal', 'nival')
('bargee', 'barege')
('untied', 'united')
('friers', 'firers')
('sob', 'bos')
('roomiest', 'mooriest')
('wrastle', 'warstle')
('cartop', 'captor')
('platane', 'planate')
('reread', 'redear')
('reared', 'dearer')
('reared', 'reader')
('reader', 'dearer')
('typhons', 'pythons')
('nana', 'anna')
('steeliest', 'sleetiest')
('skees', 'seeks')
('silanes', 'salines')
('vials', 'vails')
('witling', 'wilting')
('smiled', 'slimed')
('terrain', 'retrain')
('froward', 'forward')
('solider', 'soldier')
('tray', 'arty')
('scared', 'sacred')
('spired', 'spider')
('prised', 'prides')
('reside', 'desire')
('swear', 'sewar')
('sewar', 'sawer')
('concreted', 'concerted')
('shapes', 'phases')
('sliverer', 'silverer')
('gruel', 'gluer')
('ooh', 'oho')
('tonga', 'tango')
('role', 'lore')
('role', 'orle')
('stoplight', 'spotlight')
('pealed', 'leaped')
('re', 'er')
('mools', 'looms')
('brae', 'bare')
('brae', 'bear')
('spoors', 'sopors')
('sabes', 'bases')
('flacons', 'falcons')
('bistre', 'bister')
('bister', 'bestir')
('versers', 'servers')
('sedater', 'redates')
('expect', 'except')
('obverses', 'observes')
('rand', 'nard')
('nard', 'darn')
('platens', 'planets')
('bleated', 'belated')
('tingler', 'ringlet')
('rebating', 'berating')
('froes', 'fores')
('welder', 'lewder')
('nubs', 'buns')
('nudes', 'dunes')
('wee', 'ewe')
('antinomy', 'antimony')
('revised', 'deviser')
('mome', 'memo')
('oka', 'koa')
('oka', 'oak')
('bulge', 'bugle')
('sparse', 'spares')
('prases', 'parses')
('passer', 'parses')
('caid', 'acid')
('caid', 'cadi')
('excised', 'excides')
('bath', 'baht')
('tilling', 'lilting')
('ursine', 'rusine')
('seducer', 'reduces')
('secured', 'recused')
('rived', 'diver')
('pineal', 'penial')
('spik', 'skip')
('sauced', 'caused')
('bales', 'ables')
('grads', 'drags')
